id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
00D36,F,2018,2017,1,MFWS,0,0,0.833,Fawn,0.332,53.774,53.774,53.774,0.276790831,F1041,84E6F
00D36,F,2019,2017,2,MFWS,0,0,0.827,Fawn,0.332,52.23333333,52.43333333,88.4,0.276790831,F1041,84E6F
00D36,F,2020,2017,3,MFWS,0,0,NA,Fawn,0.332,NA,NA,NA,0.276790831,F1041,84E6F
0DC56,M,2018,2017,1,MFWS,5,1,1.053,Fawn,0.356,55.8,55.5,86.63333333,0.276790831,F1041,1BEFa
0DC56,M,2018,2017,1,MFWS,5,1,0.943,Fawn,0.356,55.45,54.9,83,0.276790831,F1041,1BEFa
0DC56,M,2019,2017,2,MFWS,0,0,1.165,Fawn,0.356,55.9,56,97,0.276790831,F1041,1BEFa
0DC56,M,2020,2017,3,MFWS,0,0,NA,Fawn,0.356,NA,NA,NA,0.276790831,F1041,1BEFa
0DCFE,F,2019,2017,2,Surrey Hills,0,0,0.675,Black,0.294,52.15,52.075,86.475,NA,TasInd,TasInd
0DCFE,F,2020,2017,3,Surrey Hills,0,0,NA,Black,0.294,NA,NA,NA,NA,TasInd,TasInd
0DD00,F,2019,2017,2,Surrey Hills,0,0,0.763,Black,0.281,50.65,50.85,88.15,NA,TasInd,TasInd
0DD00,F,2020,2017,3,Surrey Hills,0,0,0.72,Black,0.281,52,52.3,89.35,NA,TasInd,TasInd
0DD31,F,2017,2016,1,MFWS,1,1,NA,Fawn,0.33,NA,NA,NA,NA,3,1
0DD31,F,2018,2016,2,MFWS,2,1,1.102,Fawn,0.33,54.97666667,56.34666667,89.412,NA,3,1
0DD31,F,2019,2016,3,MFWS,0,0,1.08,Fawn,0.33,56.3,56.1,92.2,NA,3,1
0DD31,F,2020,2016,4,MFWS,0,0,NA,Fawn,0.33,NA,NA,NA,NA,3,1
0DD4C,F,2018,2017,1,MFWS,3,1,0.858,Black,0.201,53.6325,56.475,81.725,0.176790831,FC42B,88761
0DD4C,F,2019,2017,2,MFWS,0,0,0.798,Black,0.201,51.94333333,51.62333333,82.59,0.176790831,FC42B,88761
0DD4C,F,2020,2017,3,MFWS,0,0,NA,Black,0.201,NA,NA,NA,0.176790831,FC42B,88761
0DD54,M,2018,2017,1,MFWS,4,1,1.28,NA,0.288,60.4,60.4,98.5,NA,5,0DDE1
0DD54,M,2019,2017,2,MFWS,0,0,NA,NA,0.288,NA,NA,NA,NA,5,0DDE1
0DD54,M,2020,2017,3,MFWS,0,0,NA,NA,0.288,NA,NA,NA,NA,5,0DDE1
0DD92,F,2018,2017,1,MFWS,4,1,0.922,Black,0.325,53.125,53.15,85.875,0.273352436,F1041,3051
0DD92,F,2019,2017,2,MFWS,0,0,NA,Black,0.325,NA,NA,NA,0.273352436,F1041,3051
0DD92,F,2020,2017,3,MFWS,0,0,NA,Black,0.325,NA,NA,NA,0.273352436,F1041,3051
0DDE1,F,2017,2016,1,Grove,6,1,0.967,Fawn,0.304,55,54.63,89.06,NA,TasInd,TasInd
0DDE1,F,2018,2016,2,Grove,0,0,NA,Fawn,0.304,NA,NA,NA,NA,TasInd,TasInd
0DDE1,F,2019,2016,3,Grove,0,0,NA,Fawn,0.304,NA,NA,NA,NA,TasInd,TasInd
0DDE1,F,2020,2016,4,Grove,0,0,NA,Fawn,0.304,NA,NA,NA,NA,TasInd,TasInd
0DE28,F,2018,2017,1,MFWS,0,0,0.828,Fawn,0.316,53.064,51.34,80.194,NA,9,0DDE1
0DE28,F,2019,2017,2,MFWS,0,0,0.864,Fawn,0.316,51.555,51.7825,77.4475,NA,9,0DDE1
0DE28,F,2020,2017,3,MFWS,0,0,NA,Fawn,0.316,NA,NA,NA,NA,9,0DDE1
0DF4C,M,2018,2017,1,MFWS,3,1,1.245,Black,0.323,57.7025,58.66,90.21,0.273352436,F1041,3051
0DF4C,M,2019,2017,2,MFWS,2,1,NA,Black,0.323,NA,NA,NA,0.273352436,F1041,3051
0DF4C,M,2020,2017,3,MFWS,0,0,NA,Black,0.323,NA,NA,NA,0.273352436,F1041,3051
0E09E,F,2017,2016,1,Russell Falls,0,0,0.778,Fawn,0.325,55.6,56.9,93.4,NA,TasInd,TasInd
0E09E,F,2018,2016,2,Russell Falls,0,0,NA,Fawn,0.325,NA,NA,NA,NA,TasInd,TasInd
0E09E,F,2019,2016,3,Russell Falls,0,0,NA,Fawn,0.325,NA,NA,NA,NA,TasInd,TasInd
0E09E,F,2020,2016,4,Russell Falls,0,0,NA,Fawn,0.325,NA,NA,NA,NA,TasInd,TasInd
0E0A7,M,2018,2017,1,MFWS,0,0,0.82,Fawn,0.335,54.9,54.9,77.8,0.276790831,F1041,84E6F
0E0A7,M,2019,2017,2,MFWS,0,0,NA,Fawn,0.335,NA,NA,NA,0.276790831,F1041,84E6F
0E0A7,M,2020,2017,3,MFWS,0,0,NA,Fawn,0.335,NA,NA,NA,0.276790831,F1041,84E6F
0E2A2,M,2018,2017,1,MFWS,0,0,NA,Black,0.249,NA,NA,NA,0.230372493,F1041,88761
0E2A2,M,2019,2017,2,MFWS,0,0,NA,Black,0.249,NA,NA,NA,0.230372493,F1041,88761
0E2A2,M,2020,2017,3,MFWS,0,0,NA,Black,0.249,NA,NA,NA,0.230372493,F1041,88761
0E33F,F,2017,2016,1,MFWS,3,1,0.91,Black,0.373,57.66666667,57.53333333,89.4,0.305444126,18244,88C2Ba
0E33F,F,2018,2016,2,MFWS,0,0,NA,Black,0.373,NA,NA,NA,0.305444126,18244,88C2Ba
0E33F,F,2019,2016,3,MFWS,0,0,NA,Black,0.373,NA,NA,NA,0.305444126,18244,88C2Ba
0E33F,F,2020,2016,4,MFWS,0,0,NA,Black,0.373,NA,NA,NA,0.305444126,18244,88C2Ba
0E384,F,2017,2016,1,Lonna Vale,0,0,0.959,Fawn,0.282,55.4,54.9,89,NA,TasInd,TasInd
0E384,F,2018,2016,2,Lonna Vale,0,0,0.795,Fawn,0.282,NA,NA,NA,NA,TasInd,TasInd
0E384,F,2019,2016,3,Lonna Vale,0,0,NA,Fawn,0.282,NA,NA,NA,NA,TasInd,TasInd
0E384,F,2020,2016,4,Lonna Vale,0,0,NA,Fawn,0.282,NA,NA,NA,NA,TasInd,TasInd
1803C,F,2016,2014,2,Pelverata,0,0,1.074,Fawn,0.258,58.3,57.2,93.4,NA,TasInd,TasInd
1803C,F,2017,2014,3,Pelverata,0,0,NA,Fawn,0.258,NA,NA,NA,NA,TasInd,TasInd
1803C,F,2018,2014,4,Pelverata,0,0,NA,Fawn,0.258,NA,NA,NA,NA,TasInd,TasInd
1803C,F,2019,2014,5,Pelverata,0,0,NA,Fawn,0.258,NA,NA,NA,NA,TasInd,TasInd
1803C,F,2020,2014,6,Pelverata,0,0,NA,Fawn,0.258,NA,NA,NA,NA,TasInd,TasInd
180F7,F,2016,2015,1,MtR transf 2016,0,0,0.7,Fawn,0.338,52.2,52.8,86.3,NA,MtRInd,MtRInd
180F7,F,2017,2015,2,MtR transf 2016,2,1,0.953,Fawn,0.338,53,54.6,92.1,NA,MtRInd,MtRInd
