id,pop,Born,Origin,Resides,SEX,Morph,Litter
88DB3a,Pine Tiers Lagoon,2014,Pine Tiers Lagoon,MFWS,M,Black,unknown
8BD0A,MFWS,2017,MFWS,MFWS,M,Fawn,litter d
8F1D7,Surrey Hills,2018,Surrey Hills,MFWS,F,Fawn,unknown
94A21,MFWS,2018,MFWS,MFWS,M,Fawn,litter b
94AEC,MFWS,2018,MFWS,MFWS,M,Black,litter b
94B62,MFWS,2018,MFWS,MFWS,M,Black,litter b
94B64,Surrey Hills,2018,Surrey Hills,MFWS,F,Fawn,unknown
94BD9,MFWS,2019,MFWS,MFWS,M,Black,unknown
94C36,MFWS,2019,MFWS,MFWS,F,Fawn,unknown
94D44,MFWS,2018,MFWS,MFWS,F,Black,unknown
94FF7,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
950C9,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
951ED,MFWS,2018,MFWS,MFWS,M,Fawn,litter a
AA6C4,MFWS,2019,MFWS,MFWS,M,Black,unknown
AA8AF,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
AA8B8,MFWS,2019,MFWS,MFWS,M,Black,unknown
AA98C,Scamander,2017,Scamander,MFWS,F,Fawn,unknown
AA9A3,MFWS,2018,MFWS,MFWS,M,Fawn,unknown
AAB3F,MFWS,2018,MFWS,MFWS,M,Fawn,unknown
AD30A,MFWS,2018,MFWS,MFWS,F,Black,unknown
AD378,MFWS,2018,MFWS,MFWS,M,Fawn,unknown
AD42A,MFWS,2018,MFWS,MFWS,F,Fawn,litter a
AD46F,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
AD5E1,Surrey Hills,2018,Surrey Hills,MFWS,F,Fawn,unknown
B3AA6,14 Mile Road,2015,14 Mile Road,MFWS,M,NA,unknown
BBC6C,MFWS,2017,MFWS,MFWS,M,Black,unknown
BD661,MFWS,2020,MFWS,MFWS,M,Black,unknown
BDD65,MFWS,2017,MFWS,MFWS,F,Fawn,litter d
